azonosito,alkerdes,allitas_magyarul,idezet_eredeti,forras_url,tier,megbizhatosag
SQ-01-C001,SQ-01,"Az Anthropic memory tool a /memories útvonalat csak prefixként kezeli, a tényleges biztonsági határt (path traversal elleni védelem) a kliens alkalmazásnak kell megvalósítania, nem a tool maga adja",A malicious path such as /memories/../../secrets.env can reach files outside the /memories directory. Your implementation must validate every path in every command to prevent directory traversal attacks.,https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool,T1,Közepes
SQ-01-C002,SQ-01,"Az Anthropic memory tool dokumentációja kimondja, hogy a /memories prefix csak egy leképezés, amit a handler valósít meg, és a biztonság a handler felelőssége","The /memories path is a prefix that your handler maps onto real storage, such as a per-user directory or keys in a database. Memory lives entirely in your application. A later conversation continues from the same memory when it sends the same tools entry and your handler serves the same store. For security, restrict all memory operations to the /memories directory (see Path traversal protection).",https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool,T1,Közepes
SQ-01-C003,SQ-01,"A Claude Code dokumentációja kimondja, hogy a CLAUDE.md és az auto memory nem kikényszerített konfiguráció, hanem kontextus, amit a modell figyelembe vehet vagy sem","Claude treats them as context, not enforced configuration. To block an action regardless of what Claude decides, use a PreToolUse hook instead.",https://code.claude.com/docs/en/memory,T1,Közepes
SQ-01-C004,SQ-01,"A Claude Code dokumentációja explicit különbséget tesz a technikai kikényszerítés (settings/permissions.deny, sandbox.enabled) és a viselkedési útmutatás (CLAUDE.md) között, és kimondja, hogy a settings szabályok a kliens által kikényszerítettek, függetlenül attól, mit dönt Claude",Settings rules are enforced by the client regardless of what Claude decides to do. CLAUDE.md instructions shape Claude's behavior but are not a hard enforcement layer.,https://code.claude.com/docs/en/memory,T1,Közepes
SQ-01-C005,SQ-01,"A Letta memory block hozzáférését nem útvonal, hanem explicit block_id csatolás (attach/detach) szabályozza: egy blokk azoknak az agenteknek látható, amelyekhez hozzá van csatolva","Shareable - Multiple agents can access the same block; update once, visible everywhere",https://docs.letta.com/guides/agents/memory-blocks/,T1,Közepes
SQ-01-C006,SQ-01,"A Letta read-only jelölés blokkszinten egységes: nem lehet egy blokkot egyes agenteknek írhatóvá, másoknak írásvédetté tenni","Read-only applies to the entire block, not per-agent. You cannot make a block read-only for some agents but writable for others.",https://docs.letta.com/guides/agents/memory-blocks/,T1,Közepes
SQ-01-C007,SQ-01,A mem0 alapértelmezetten 15 beépített kategóriát használ a memóriák címkézésére,"Default list: Each project starts with 15 broad categories like travel, sports, and music.",https://docs.mem0.ai/platform/features/custom-categories,T1,Közepes
SQ-01-C008,SQ-01,A mem0 dokumentáció felsorolja a 15 alapértelmezett kategórianevet,"personal_details, family, professional_details, sports, travel, food, music, health, technology, hobbies, fashion, entertainment, milestones, user_preferences, misc",https://docs.mem0.ai/platform/features/custom-categories,T1,Közepes
SQ-01-C009,SQ-01,"A Zep/Graphiti dokumentáció a group_id-t névtér-elválasztásra ajánlja többbérlős alkalmazásokhoz, az adatszivárgás megelőzése céljából",Multi-tenant applications: Isolate data between different customers or organizations,https://help.getzep.com/graphiti/core-concepts/graph-namespacing,T1,Közepes
SQ-01-C010,SQ-01,"A Zep/Graphiti dokumentáció szerint a group_id-vel megcímkézett csomópontok/élek elkülönített, egymástól függetlenül lekérdezhető gráfot alkotnak","Nodes and edges with the same group_id form a cohesive, isolated graph that can be queried and manipulated independently from other namespaces.",https://help.getzep.com/graphiti/core-concepts/graph-namespacing,T1,Közepes
