id,subquestion,claim,quote,source_url,tier,confidence,note
1,SQ-01,Az Obsidian-nál nincs formális export lépés: a vault mozgatása/másolása sima fájlrendszer-művelet.,"Select Move vault, and then select the new location.",https://github.com/obsidianmd/obsidian-help/blob/master/en/Files%20and%20folders/Manage%20vaults.md,T1,Közepes,Egyetlen T1 forrás (hivatalos help-repo).
2,SQ-01,"Az Obsidian metaadata YAML frontmatterben van, alapértelmezett mezőkkel: tags, aliases, cssclasses.",Property names are separated from their values by a colon followed by a space.,https://obsidian.md/help/properties,T1,Közepes,Egyetlen T1 forrás.
3,SQ-01,"Az Obsidian natív markdown-ja (wikilinkek, embedek) nem azonos a sima markdown-nal — külön eszköz kell a konverzióhoz.",Obsidian Export is a CLI program and a Rust library to export an Obsidian vault to regular Markdown. [...] obsidian-export supports most but not all of Obsidian's Markdown flavor.,https://github.com/zoni/obsidian-export,T1,Közepes,"Egyetlen, bár primer forrás (a tool saját magáról)."
4,SQ-01,"A Logseq oldal-/blokk-tulajdonságai nem YAML frontmatter, hanem saját 'kulcs:: érték' szintaxist használnak.",rating:: 8,https://github.com/logseq/docs/blob/master/pages/Properties.md?plain=1,T1,Közepes,Egyetlen T1 forrás (hivatalos docs-repo).
5,SQ-01,"A Logseq DB-gráf EDN-exportja graph-agnosztikus, kifejezetten DB-gráfok közötti export/importra készült.",Builds sqlite.build EDN to represent nodes in a graph-agnostic way. Useful for exporting and importing across DB graphs,https://raw.githubusercontent.com/logseq/logseq/master/deps/db/src/logseq/db/sqlite/export.cljs,T1,Közepes,"Forráskód-docstring, keresztellenőrizve a deepwiki.com (T3) vezető forrás után."
6,SQ-01,"A Joplin JEX formátuma tar-csomag, amely lossless módon megőrzi a metaadatot (geo, updated, tags).","Joplin can export to the JEX format (Joplin Export file), which is a tar file that can contain multiple notes, notebooks, etc. [...] a lossless format in that all the notes, but also metadata such as geo-location, updated time, tags, etc. are preserved.",https://joplinapp.org/help/apps/import_export/,T1,Közepes,"A GitHub-repóban lévő readme ugyanezt a szöveget közli, de az nem független megerősítés, csak tükör."
7,SQ-01,"A Joplin RAW formátum megegyezik a JEX-szel, csak könyvtárba menti, elemenként egy fájlba.",A 'raw' format is also available. This is the same as the JEX format except that the data is saved to a directory and each item represented by a single file.,https://joplinapp.org/help/apps/import_export/,T1,Közepes,Egyetlen T1 forrás.
8,SQ-01,"A Joplin RAW/JEX belső fájlnevei belső azonosítók (ID-k), nem emberi olvasható cím — 'not human readable'.",not human readable,https://discourse.joplinapp.org/t/export-summary-what-each-option-does/48564,T2,Alacsony,"Hivatalos fórum, de a projektszabály szerint fórum sosem T1."
9,SQ-01,A Joplin sima MD exportnál a metaadat tudottan és dokumentáltan elvész.,"Meta data is lost (no ids, no other properties).",https://discourse.joplinapp.org/t/export-summary-what-each-option-does/48564,T2,Alacsony,"Fórum-forrás, nem T1."
10,SQ-01,"A Joplin MD+Frontmatter export tudatos tervezési döntésként megtartja a title/created/updated/geo mezőket, de elhagyja az ID-t és az ütközés-állapotot.","a new export format with the utility of markdown export, but one that is less lossy [...] all ID's will be lost. Conflict status will also be lost. These are acceptable loses",https://github.com/laurent22/joplin/issues/5224,T1,Közepes,"A projekt saját issue-trackere, a tervezési döntés elsődleges dokumentuma."
