claim_id,claim,source_ids,quote,quote_location,subquestion,volatility,confidence,verdict,note
SQ-01-C001,"Bun's own (vendor-about-itself) benchmark claims Bun.serve handles roughly 2.5x more requests per second than Node 16 on Linux (~160,000 vs ~64,000 rps), with NO stated hardware or concurrency level",src_2026-09-05_bun-com_server-bun-docs-bun-serve-idletimeout-benchmarks,The Bun.serve server can handle roughly 2.5x more requests per second than Node.js on Linux.,Benchmarks section,SQ-01,volatile,,,
SQ-01-C002,"bun:sqlite's own docs describe its API as synchronous; Statement methods (all/get/run/values) return plain values, not Promises, meaning a bun:sqlite call executes on and blocks the calling thread (the single request-handling event loop)",src_2026-09-05_bun-com_sqlite-bun-docs-bun-sqlite,The API is synchronous and fast.,SQLite intro,SQ-01,stable,,,
SQ-01-C003,"Bun documents its Worker API as still experimental, particularly around termination, not as production-hardened",src_2026-09-05_bun-com_workers-bun-docs,The Worker API is still experimental (particularly for terminating workers). We are actively working on improving this.,Workers intro,SQ-01,slow,,,
SQ-01-C004,"Bun's documented way to add processes on one machine is reusePort:true in Bun.serve, sharing one port across multiple OS processes with kernel-level load balancing; this is a per-process config flag, not an architectural rewrite",src_2026-09-05_bun-com_start-a-cluster-of-http-servers-bun-guides-reuseport,"To run multiple HTTP servers concurrently, use the reusePort option in Bun.serve(). It shares one port across multiple processes, and incoming requests are load balanced across them.",Start a cluster of HTTP servers,SQ-01,slow,,,
SQ-01-C005,"Bun documents reusePort as Linux-only: Windows and macOS ignore the option entirely, due to an OS-level limitation of SO_REUSEPORT",src_2026-09-05_bun-com_start-a-cluster-of-http-servers-bun-guides-reuseport,Linux only — Windows and macOS ignore the reusePort option. This is an operating system limitation with SO_REUSEPORT.,Start a cluster of HTTP servers,SQ-01,stable,,,
SQ-01-C006,"Grafana's k6 documentation gives an authoritative formula translating analytics session data into concurrent users: Concurrent users = Hourly sessions * Average session duration (seconds) / 3600, and explicitly recommends testing against PEAK concurrency, not the average, since peak can be an order of magnitude higher (their worked example: 0.08 average vs 25.3 peak concurrent users for the same site)",src_2026-09-05_grafana-com_calculate-concurrent-users-for-load-tests-grafana-k6-docs,Concurrent users  = Hourly sessions * Average session duration (in seconds) / 3600,Understanding concurrent users,SQ-01,stable,,,
SQ-01-C007,"An independent benchmark with fully stated conditions (AMD 5900X 12c/24t, 32GB RAM, hey tool, 50000 requests, concurrency levels 100/200/800/2000, Node v22.9.0 vs Bun 1.0.28) found negligible performance difference between Node and Bun on a realistic DB-backed workload; Bun's large advantage only appears on a trivial no-op/hello-world handler",src_2026-09-05_evertheylen-eu_node-vs-bun-no-backend-performance-difference-evert-heylen,The conclusion is straightforward: Node demonstrates a negligible performance advantage over Bun.,Results section,SQ-01,volatile,,,
SQ-01-C008,"Bun's own idleTimeout docs state the default connection idle timeout is 10 seconds, configurable up to a max of 255 seconds via the idleTimeout field, with 0 disabling it",src_2026-09-05_bun-com_server-bun-docs-bun-serve-idletimeout-benchmarks,"By default, Bun.serve closes connections after 10 seconds of inactivity.",idleTimeout section,SQ-01,slow,,,
SQ-01-C009,"The maximum configurable idleTimeout in Bun.serve is 255 seconds, and 0 disables the timeout entirely",src_2026-09-05_bun-com_server-bun-docs-bun-serve-idletimeout-benchmarks,"The maximum value is 255, and 0 disables the timeout entirely.",idleTimeout section,SQ-01,slow,,,
SQ-01-C010,The Linux kernel man page documents SO_REUSEPORT (since Linux 3.9) as permitting multiple AF_INET/AF_INET6 sockets to be bound to an identical socket address,src_2026-09-05_man7-org_socket-7-linux-manual-page-so-reuseport,Permits multiple AF_INET or AF_INET6 sockets to be bound to an identical socket address.,SO_REUSEPORT section,SQ-01,stable,,,
SQ-01-C011,"SO_REUSEPORT requires all binding processes to share the same effective UID, to prevent port hijacking",src_2026-09-05_man7-org_socket-7-linux-manual-page-so-reuseport,"To prevent port hijacking, all of the processes binding to the same address must have the same effective UID.",SO_REUSEPORT section,SQ-01,stable,,,
SQ-01-C012,"TechEmpower's current benchmark hardware (Round 23, since March 2025) uses an Intel Xeon Gold 6330 CPU with 56 cores; per-framework Bun RPS numbers and concurrency levels are not stated on this announcement page",src_2026-09-05_techempower-com_framework-benchmarks-round-23-techempower,Intel Xeon Gold 6330 CPU @ 2.00GHz (56 cores),New Hardware and Upgrades,SQ-01,slow,,,
SQ-02-C001,"In rollback-journal mode any number of processes can hold SHARED (read) locks at once, but no process may write while a SHARED lock is active.",src_2026-09-05_sqlite-org_file-locking-and-concurrency-in-sqlite-version-3,"Any number of processes can hold SHARED locks at the same time, hence there can be many simultaneous readers. But no other thread or process is allowed to write to the database file while one or more SHARED locks are active.","Section 3.0 Locking, SHARED row",SQ-02,stable,,,
SQ-02-C002,A writer in rollback-journal mode must obtain a RESERVED lock (intent to write) while other processes can continue reading; only one RESERVED lock can exist at a time.,src_2026-09-05_sqlite-org_file-locking-and-concurrency-in-sqlite-version-3,"Only a single RESERVED lock may be active at one time, though multiple SHARED locks can coexist with a single RESERVED lock.","Section 3.0 Locking, RESERVED row",SQ-02,stable,,,
SQ-02-C003,"In rollback-journal mode a writer must obtain PENDING then EXCLUSIVE locks to actually commit, and may have to wait for existing readers' SHARED locks to clear before EXCLUSIVE is granted.",src_2026-09-05_sqlite-org_file-locking-and-concurrency-in-sqlite-version-3,"Obtain a PENDING lock and then an EXCLUSIVE lock on the database file. If other processes still have SHARED locks, the writer might have to wait until those SHARED locks clear before it is able to obtain an EXCLUSIVE lock.",Section 5.0 Writing to a database file,SQ-02,stable,,,
SQ-02-C004,"SQLite v3's PENDING lock exists specifically to prevent writer starvation: it lets existing readers finish but blocks new readers from joining, so the writer eventually gets its EXCLUSIVE lock.",src_2026-09-05_sqlite-org_file-locking-and-concurrency-in-sqlite-version-3,The PENDING lock allows existing readers to continue but prevents new readers from connecting to the database.,Section 5.1 Writer starvation,SQ-02,stable,,,
