claim_id,claim,source_ids,quote,quote_location,subquestion,volatility,confidence,verdict,note
SQ-01-C001,"Az open-second-brain 'cross-project' funkciója egyetlen megosztott vault több runtime/eszköz közötti szinkronizálását jelenti, nem két különálló hatókör közötti tartalmi propagációt.",src_2026-09-04_github-com_open-second-brain-cross-project-setup-doc,The vault supports Syncthing sharing. Signals can originate from any peer,"docs/cross-project-pointer.md, section 3",SQ-01,volatile,,,
SQ-01-C002,"Az open-second-brain rendszerben egy megosztott vaulthoz pontosan egy elsődleges (primary) ágensnek szabad futtatnia a konszolidációs (dream) lépést; ha másik ágens futtatja, az csak figyelmeztetést kap, a végrehajtás nem blokkolt.",src_2026-09-04_github-com_open-second-brain-cross-project-setup-doc,"The pass completes regardless—this is observability, not access control.","docs/cross-project-pointer.md, section 2",SQ-01,volatile,,,
SQ-01-C003,"A Mem0 entitás-alapú scope-olása (user_id/agent_id/app_id/run_id) kifejezetten az adatok EGYMÁSTÓL VALÓ ELKÜLÖNÍTÉSÉRE szolgál, nem automatikus átjuttatásra a hatókörök között.",src_2026-09-04_docs-mem0-ai_mem0-entity-scoped-memory-docs,"By tagging each write and query with the right identifiers, you can prevent data from mixing between them, maintain clear audit trails, and control data retention.","Entity-Scoped Memory docs, intro",SQ-01,slow,,,
SQ-01-C004,"A Mem0 dokumentált cross-repo/cross-service példájában a másik ágens (Agent B) csak akkor jut hozzá az első ágens (Agent A) által rögzített új tudáshoz, ha aktívan lekérdezi a memóriát kódolás előtt -- ez pull modell, nem automatikus push/propagáció.",src_2026-09-04_mem0-ai_mem0-blog-beyond-agents-md-shared-memory-across-services-and,"Agent B (with Mem0) searches memory before coding, discovers the field change, and correctly implements logic for the new statusCode field while maintaining backward compatibility.","Beyond AGENTS.md blog post, Three Test Scenarios",SQ-01,volatile,,,
SQ-01-C005,"A Letta 'shared memory blocks' mechanizmusa nem másolást/tükrözést valósít meg két külön tárolt hatókör között, hanem ugyanazt a memória-objektumot teszi elérhetővé több ágensnek egyszerre; a frissítés azonnal, LLM-ítélet nélkül látszik mindenkinél.",src_2026-09-04_docs-letta-com_letta-docs-shared-memory-blocks,"Shared memory blocks let multiple agents access and update the same memory. When one agent updates the block, all others see the change immediately.",Letta Docs - Shared Memory,SQ-01,slow,,,
SQ-01-C006,"A Letta Context Repositories 'memory reflection' nevű háttérfolyamata emberi jóváhagyás nélkül, automatikusan olvasztja vissza a tanult tartalmat a memória-repóba, de ez egyetlen ágens saját memóriáján belüli (nem hatókörök közötti) művelet.",src_2026-09-04_letta-com_letta-blog-introducing-context-repositories,It works in a git worktree to avoid conflicts with the running agent and merges back automatically.,Letta blog - Memory skills / Memory reflection,SQ-01,volatile,,,
SQ-01-C007,"A Zep minden egyes felhasználóhoz külön, automatikusan épített temporális tudásgráfot hoz létre; a dokumentáció nem említ automatikus tényátvitelt két különböző felhasználó vagy csoport gráfja között.",src_2026-09-04_help-getzep-com_zep-docs-graph-overview,Zep automatically constructs a temporal knowledge graph for each of your users.,Zep Docs - Graph Overview,SQ-01,slow,,,
SQ-01-C008,"A Glean az összekötött adatforrásokat csak indexeli/olvassa (federated search + RAG), engedély-tükrözéssel; írás csak explicit, admin által konfigurált 'tool' hívásokon keresztül történik, amihez human-in-the-loop jóváhagyás is beállítható -- nincs automatikus, LLM-ítélet által kiváltott tartalom-átmásolás egyik forrásból a másikba.",src_2026-09-04_docs-glean-com_glean-docs-how-connectors-power-the-glean-experience,Restrict which tools run automatically versus human-in-the-loop approval.,"Glean Docs - Agents, Assistant, and Tools",SQ-01,volatile,,,
SQ-01-C009,"A Basic Memory dokumentációja explicit módon kimondja, hogy a projektek (hatókörök) egymástól el vannak szigetelve: egyik projekt jegyzetei nem jelennek meg a másikban, és a relációk sem léphetnek át projekthatáron.",src_2026-09-04_docs-basicmemory-com_basic-memory-docs-projects-and-folders,Notes in one project do not appear in another. Relations in one project cannot link to notes in a different project.,"Basic Memory Docs - Projects and folders, 'What is a project?'",SQ-01,stable,,,
SQ-01-C010,"A Basic Memory dokumentációja szerint nincs beépített, automatikus 'move'/propagációs művelet a workspace-ek/projektek között; a tartalom átvitele csak explicit, manuálisan kezdeményezett másolás (export/import vagy MCP read-write-delete), amit az AI asszisztens a felhasználó kérésére hajt végre.",src_2026-09-04_docs-basicmemory-com_basic-memory-docs-copy-content-between-workspaces,"There is no built-in cross-workspace ""Move to…"" action yet.","Basic Memory Docs - Copy Content Between Workspaces, intro",SQ-01,volatile,,,
SQ-01-C011,"A Basic Memory MCP interfésze nem tesz elérhetővé atomikus cross-projekt vagy cross-workspace mozgatást; a mintázat explicit read -> write -> (opcionális) delete hívás-sorozat, amit az AI asszisztens hajthat végre, de csak kérésre.",src_2026-09-04_docs-basicmemory-com_basic-memory-docs-copy-content-between-workspaces,"MCP doesn't expose an atomic cross-project or cross-workspace move. Express it as read → write → (optionally) delete instead. Your AI assistant can drive this for you, or you can run the tools directly.","Basic Memory Docs - Copy Content Between Workspaces, Copy with MCP",SQ-01,volatile,,,
