id,subquestion,claim,quote,source_url,tier,confidence,note
SQ-01-C001,SQ-01,"A five-MCP-server setup (GitHub 35 tools, Slack 11, Sentry 5, Grafana 5, Splunk 2 = 58 tools) costs approximately 55K tokens in tool definitions before the conversation starts",That's 58 tools consuming approximately 55K tokens before the conversation even starts.,https://www.anthropic.com/engineering/advanced-tool-use,T1,Közepes,Tool Search Tool / The challenge
SQ-01-C002,SQ-01,Anthropic has seen internal tool-definition loads reach 134K tokens before optimization,"At Anthropic, we've seen tool definitions consume 134K tokens before optimization.",https://www.anthropic.com/engineering/advanced-tool-use,T1,Közepes,Tool Search Tool / The challenge
SQ-01-C003,SQ-01,Loading ~50+ MCP tool definitions upfront costs approximately 72K tokens in Anthropic's traditional-approach example,All tool definitions loaded upfront (~72K tokens for 50+ MCP tools),https://www.anthropic.com/engineering/advanced-tool-use,T1,Közepes,Tool Search Tool / Our solution
SQ-01-C004,SQ-01,"Anthropic's Tool Search Tool (on-demand tool discovery via defer_loading) reduces tool-definition token usage by approximately 85% versus loading all definitions upfront, while preserving full tool-library access",This represents an 85% reduction in token usage while maintaining access to your full tool library.,https://www.anthropic.com/engineering/advanced-tool-use,T1,Közepes,Tool Search Tool / How it works
SQ-01-C005,SQ-01,"With Tool Search Tool, only the search tool itself (~500 tokens) plus 3-5 discovered tools (~3K tokens) load, for ~8.7K total tokens versus ~77K in the traditional upfront-loading approach","Total context consumption: ~8.7K tokens, preserving 95% of context window",https://www.anthropic.com/engineering/advanced-tool-use,T1,Közepes,Tool Search Tool / Our solution
SQ-01-C006,SQ-01,Anthropic recommends using the Tool Search Tool specifically when tool definitions consume more than 10K tokens or when there are 10+ tools available,Tool definitions consuming >10K tokens,https://www.anthropic.com/engineering/advanced-tool-use,T1,Közepes,Tool Search Tool / When to use
SQ-01-C007,SQ-01,Anthropic advises keeping only the 3 to 5 most-used tools always loaded in context and deferring the rest for on-demand discovery,"Keep your three to five most-used tools always loaded, defer the rest.",https://www.anthropic.com/engineering/advanced-tool-use,T1,Közepes,Best practices / Set up Tool Search Tool
SQ-01-C008,SQ-01,"Tool Use Examples (sample tool calls added to a tool definition) add tokens to the tool definition, so Anthropic recommends using them selectively, only where usage is ambiguous from the schema alone","Tool Use Examples add tokens to your tool definitions, so they're most valuable when accuracy improvements outweigh the additional cost.",https://www.anthropic.com/engineering/advanced-tool-use,T1,Közepes,Tool Use Examples / When to use
SQ-01-C009,SQ-01,"A GitHub issue against the MCP spec reports (unverified user claim, degraded capture) that current MCP tool definitions consume 5-15x more tokens than the minimal schema needed for the same tool",MCP tool definitions consume 5–15× more tokens than the simplest possible schema for the same tool.,https://github.com/modelcontextprotocol/modelcontextprotocol/issues/2808,T6,Alacsony,"Issue body (fetch-tool summarized capture) · forrás megjegyzése: degradált WebFetch-mentés, csak az idézőjeles rész garantáltan szó szerinti · a forrás maga jelzi: nem ellenőrzött, egyetlen felhasználó állítása"
SQ-01-C010,SQ-01,"Same GitHub issue reports (unverified user claim, degraded capture) that a typical Claude Code session with 20-30 registered MCP tools has tool schemas alone occupying 15-30 KB of context before any user message","In a typical Claude Code session with 20–30 registered MCP tools, the tool schema alone occupies 15–30 KB of context window before a single user message is sent.",https://github.com/modelcontextprotocol/modelcontextprotocol/issues/2808,T6,Alacsony,"Issue body (fetch-tool summarized capture) · forrás megjegyzése: degradált WebFetch-mentés, csak az idézőjeles rész garantáltan szó szerinti · a forrás maga jelzi: nem ellenőrzött, egyetlen felhasználó állítása"
