claim_id,claim,source_ids,quote,quote_location,subquestion,volatility,confidence,verdict,note
A-01-C001,"JSON Lines requires UTF-8 encoding, no BOM, one valid JSON value per line, and a trailing newline is recommended but not required",src_2026-09-05_jsonlines-org_json-lines-documentation-for-the-json-lines-text-file-format,Including a line terminator after the last JSON value in a file is strongly recommended but not required.,Line Terminator section,A-01,stable,,,
A-01-C002,"NDJSON forbids raw newlines/carriage returns inside a JSON record and mandates UTF-8, unlike plain JSON Lines which is silent on embedded newlines",src_2026-09-05_github-com_ndjson-newline-delimited-json-spec-v1-0-0,The JSON texts MUST NOT contain newlines or carriage returns.,3.1 Serialization,A-01,stable,,,
A-01-C003,"A CloudTrail delivered log file is one JSON object containing a Records array, i.e. JSON, not JSON Lines/NDJSON",src_2026-09-05_docs-aws-amazon-com_cloudtrail-log-file-examples-aws-cloudtrail,"FileNameFormat is the encoding of the file. Currently, this is json.gz, which is a JSON text file in compressed gzip format.",CloudTrail log file name format,A-01,stable,,,
A-01-C004,"Kubernetes' own audit log backend writes one JSON Lines file, citing jsonlines.org as its format authority",src_2026-09-05_kubernetes-io_auditing-kubernetes,The log backend writes audit events to a file in JSONlines format.,Log backend,A-01,stable,,,
A-01-C005,"HashiCorp Vault's file audit device deliberately does no log rotation itself, delegating to external tools plus SIGHUP to reopen the file",src_2026-09-05_developer-hashicorp-com_file-audit-device-hashicorp-vault-docs,"The device does not currently assist with any log rotation. There are very stable and feature-filled log rotation tools already, so we recommend using existing tools.",File audit device,A-01,stable,,,
A-01-C006,"Linux auditd log_format choice is RAW (exactly as kernel emits) vs ENRICHED (resolved uid/gid/syscall names), explaining why auditd's on-disk text format is not simple JSON",src_2026-09-05_man7-org_auditd-conf-5-linux-manual-page,"If set to RAW, the audit records will be stored in a format exactly as the kernel sends it. The ENRICHED option will resolve all uid, gid, syscall, architecture, and socket address information before writing the event to disk.",log_format,A-01,stable,,,
A-01-C007,auditd records are explicitly not guaranteed to be atomic or ordered as a stream - one logical event can be composed of multiple interleaved records,src_2026-09-05_man7-org_auditd-conf-5-linux-manual-page,The auditd system does not guarantee that the records that make up an event will appear in order.,NOTES,A-01,stable,,,
A-01-C008,RFC 5424 syslog requires transport receivers to accept at least 480 octets and recommends supporting 2048 octets,src_2026-09-05_rfc-editor-org_rfc-5424-the-syslog-protocol,All transport receiver implementations SHOULD be able to accept messages of up to and including 2048 octets in length.,Section 6.1 Message Length,A-01,stable,,,
A-01-C009,"OWASP requires every log event to record who/when/what/where, including user identity and source address, but does not name a dedicated 'channel/interface' field beyond source address",src_2026-09-05_cheatsheetseries-owasp-org_owasp-logging-cheat-sheet,"The application logs must record ""when, where, who and what"" for each event.",Event attributes,A-01,stable,,,
A-01-C010,"OWASP explicitly says authentication successes and failures must always be logged, since failed logins are early indicators of credential attacks",src_2026-09-05_cheatsheetseries-owasp-org_owasp-logging-cheat-sheet,"Failed authentication attempts provide critical early indicators of credential‑based attacks such as brute‑force, credential‑stuffing, and password‑spraying.",Which events to log,A-01,stable,,,
A-01-C011,"OWASP explicitly forbids logging session tokens, access tokens and passwords in plaintext in log files",src_2026-09-05_cheatsheetseries-owasp-org_owasp-logging-cheat-sheet,"Session identification values (consider replacing with a hashed value if needed to track session specific events), Access tokens, Authentication passwords",Data to exclude,A-01,stable,,,
A-01-C012,"OCSF is a schema/taxonomy standard, not a serialization format - it explicitly works with JSON, Parquet, Avro or other formats",src_2026-09-05_github-com_open-cybersecurity-schema-framework-ocsf-ocsf-schema-readme,"Format Agnostic: Works with JSON, Parquet, Avro, and other formats",What is OCSF,A-01,stable,,,
A-01-C013,"OCSF's own category table places Authentication and Entity Management event classes under Identity & Access Management, and API Activity under Application Activity - directly fitting a per-object CRUD + login audit use case",src_2026-09-05_github-com_understanding-the-open-cybersecurity-schema-framework,An example of categories with some of their event classes is shown in the below table.,Categories,A-01,stable,,,
A-01-C014,"Every OCSF event class requires class_uid, category_uid, activity_id and severity_id as base attributes - adopting OCSF field naming means adopting this whole classification apparatus, not just a few field names",src_2026-09-05_github-com_understanding-the-open-cybersecurity-schema-framework,"Examples of required base attributes are class_uid, category_uid, activity_id, severity_id.",Base Event Class Attributes,A-01,stable,,,
A-01-C015,"NIST SP 800-92 documents that syslog's message body has no standard machine-parseable field structure, which is presented as a limitation for automated log analysis",src_2026-09-05_nvlpubs-nist-gov_nist-sp-800-92-guide-to-computer-security-log-management,"No standard fields are defined within the message content; it is intended to be human-readable, and not easily machine-parseable.",Section 3.3.1 Syslog Format,A-01,stable,,,
A-02-C001,"O_APPEND makes the seek-to-end-and-write atomic with respect to other writers on the same system, but this breaks on NFS because the client kernel must simulate append without atomicity",src_2026-09-05_man7-org_open-2-linux-manual-page,"O_APPEND may lead to corrupted files on NFS filesystems if more than one process appends data to a file at once. This is because NFS does not support appending to a file, so the client kernel has to simulate it, which can't be done without a race condition.",open(2) O_APPEND section,A-02,stable,,,
A-02-C002,A write() call can legally transfer fewer bytes than requested (a short write); the caller is obligated to detect this via the return value and issue another write() for the remainder,src_2026-09-05_man7-org_write-2-linux-manual-page,"In the event of a partial write, the caller can make another write() call to transfer the remaining bytes.",write(2) RETURN VALUE,A-02,stable,,,
A-02-C003,"POSIX defines O_APPEND as guaranteeing no intervening file modification between the offset-to-end seek and the write, which is the atomicity guarantee applications rely on for concurrent appenders to a regular file",src_2026-09-05_pubs-opengroup-org_write-posix-1-2017-ieee-std-1003-1-2017,"If the O_APPEND flag of the file status flags is set, the file offset shall be set to the end of the file prior to each write and no intervening file modification operation shall occur between changing the file offset and the write operation.",POSIX write() DESCRIPTION,A-02,stable,,,
A-02-C004,"PIPE_BUF (512 bytes minimum per POSIX, 4096 on Linux) is an atomicity guarantee specific to pipes and FIFOs, not regular files; it does not establish any size below which writes to a regular file are guaranteed non-interleaved",src_2026-09-05_man7-org_pipe-7-linux-manual-page,"POSIX.1 says that ""writes of less than PIPE_BUF bytes must be atomic: the output data is written to the pipe as a contiguous sequence."" Writes of more than PIPE_BUF bytes may be nonatomic: the kernel may interleave the data with data written by other processes. POSIX.1 requires PIPE_BUF to be at least 512 bytes. (On Linux, PIPE_BUF is 4096 bytes.)",pipe(7) PIPE_BUF section,A-02,stable,,,
